scope,batches,var,bias,mae,rmse,rmse_1_24h,rmse_49_72h,growth
sampled_test,80,sst,0.366662,0.492329,0.650263,0.460291,0.791663,1.719921
sampled_test,80,sss,0.179150,0.204230,0.290943,0.156016,0.386259,2.475772
sampled_test,80,ssu,0.028665,0.051561,0.070636,0.053025,0.081093,1.529337
sampled_test,80,ssv,-0.000394,0.056547,0.079099,0.055769,0.091967,1.649068
