scope,mse,rmse,mae,bias,nrmse_percent
overall,0.22139556810853692,0.470526904765856,0.23373599902285117,0.01153007020501632,1.274346212050782
first_24h,0.10767549422161012,0.32813944325790845,0.1659721983665984,0.003060169016564654,0.8887127437447067
last_24h,0.33154671453835205,0.5758009330822172,0.29286649644593693,0.016823274689822913,1.5594639340204541
